Nr;Kategorie;Titel;Beschreibung;Priorität;Status;Owner
1;Datenqualität;Zweitquelle Preise;Fallback (AV/Finnhub) + Auto-Umschaltung bei Ausfällen.;;TODO;
2;Datenqualität;Corporate-Actions-Log;Splits/Dividenden mit Hash-Check speichern.;;TODO;
3;Datenqualität;Börsenkalender;"Feiertage/Handelskalender je Börse; korrektes EOD-Alignment.";;TODO;
4;Datenqualität;Sommer-/Winterzeit;Timezone-Normalisierung Europe/Berlin für Intraday.;;TODO;
5;Datenqualität;Ausreißer-Klassifikation;Statistische vs. Event-getriebene Outlier unterscheiden.;;TODO;
6;Datenqualität;Volume-Sanity;"Null-Volumen-Tage markieren; spread_proxy hochsetzen/No-Trade.";;TODO;
7;Datenqualität;Währungs-Mapping;"Quellwährung je Ticker; Reporting konsistent in EUR.";;TODO;
8;Datenqualität;Benchmarks/ETFs;Region-/Sektor-ETFs für RS & Regimeanalyse.;;TODO;
9;Datenqualität;Delisting-Policy;Gültige Handelszeiträume, Survivorship Bias minimieren.;;TODO;
10;Datenqualität;Daten-Diff-Store;Tägliche Deltas für schnellen Rebuild/Restore.;;TODO;
11;Features;Mehr Volatilitätsmaße;"Rogers–Satchell, Yang–Zhang; regimespezifisch wählen.";;TODO;
12;Features;Trend-Stabilität;Lineare Trend-R², Hurst-Exponent als Zusatzfilter.;;TODO;
13;Features;Mean-Reversion-Score;"Z-Score auf Returns; Halbwertszeit schätzen.";;TODO;
14;Features;Liquiditätsklassen;"ADV in EUR, Vol/Spread-Heat; Klassifikation pro Ticker.";;TODO;
15;Features;Gap-Attribution;Overnight vs. Intraday-Return-Anteil.;;TODO;
16;Features;Volatility Squeeze+;BB/ATR-Verhältnis + Squeeze-Dauer als Breakout-Prädiktor.;;TODO;
17;Features;Event-Fahnen;"Earnings/Guidance/Dividenden; optional Blackout-Fenster.";;TODO;
18;Features;Sektor-/Peer-RS;"Ticker vs. Sektor-ETF/Peer-Buckets; Cross-sectional Momentum.";;TODO;
19;Features;Rolling-Korrelationen;Ticker↔Benchmark zur Risiko- und Limit-Steuerung.;;TODO;
