symbol,sector,region,currency,asset_type
AAPL,Technology,US,USD,EQUITY
ABBV,Healthcare,US,USD,EQUITY
ADBE,Technology,US,USD,EQUITY
AMZN,ConsumerDiscretionary,US,USD,EQUITY
AVGO,Technology,US,USD,EQUITY
COST,ConsumerStaples,US,USD,EQUITY
CRM,Technology,US,USD,EQUITY
CVX,Energy,US,USD,EQUITY
GOOGL,CommunicationServices,US,USD,EQUITY
HD,ConsumerDiscretionary,US,USD,EQUITY
JNJ,Healthcare,US,USD,EQUITY
JPM,Financials,US,USD,EQUITY
KO,ConsumerStaples,US,USD,EQUITY
LLY,Healthcare,US,USD,EQUITY
MA,Financials,US,USD,EQUITY
MCD,ConsumerDiscretionary,US,USD,EQUITY
META,CommunicationServices,US,USD,EQUITY
MRK,Healthcare,US,USD,EQUITY
MSFT,Technology,US,USD,EQUITY
NFLX,CommunicationServices,US,USD,EQUITY
NVDA,Technology,US,USD,EQUITY
PEP,ConsumerStaples,US,USD,EQUITY
PG,ConsumerStaples,US,USD,EQUITY
TMO,Healthcare,US,USD,EQUITY
TSLA,ConsumerDiscretionary,US,USD,EQUITY
UNH,Healthcare,US,USD,EQUITY
V,Financials,US,USD,EQUITY
WMT,ConsumerStaples,US,USD,EQUITY
XOM,Energy,US,USD,EQUITY
SPY,ETF,US,USD,ETF
QQQ,ETF,US,USD,ETF
IWM,ETF,US,USD,ETF
