line_number,module,status,in_try_block,line
41,src.assembled_core.pipeline.trading_cycle_shared,OK,False,from src.assembled_core.pipeline.trading_cycle_shared import (
59,src.assembled_core.config.policy_loader,OK,False,from src.assembled_core.config.policy_loader import load_policy
60,src.assembled_core.config,OK,False,from src.assembled_core.config import get_base_dir
61,src.assembled_core.config.settings,OK,False,from src.assembled_core.config.settings import get_settings
62,src.assembled_core.risk.correlation_guard,OK,False,from src.assembled_core.risk.correlation_guard import (
66,src.assembled_core.risk.georisk_overlay,OK,False,from src.assembled_core.risk.georisk_overlay import (
70,src.assembled_core.risk.zombie_killer,OK,False,from src.assembled_core.risk.zombie_killer import get_zombie_positions
71,src.assembled_core.risk.state_machine,OK,False,from src.assembled_core.risk.state_machine import (
76,src.assembled_core.risk.market_stress,OK,False,from src.assembled_core.risk.market_stress import compute_market_stress
77,src.assembled_core.risk.profit_lock,OK,False,from src.assembled_core.risk.profit_lock import compute_profit_lock_multiplier
78,src.assembled_core.risk.vol_targeting,OK,False,from src.assembled_core.risk.vol_targeting import compute_vol_targeting_result
79,src.assembled_core.risk.turnover_budget,OK,False,from src.assembled_core.risk.turnover_budget import (
151,src.assembled_core.pipeline,OK,False,from src.assembled_core.pipeline import trading_cycle_v2 as _v2
256,src.assembled_core.intel.disclosures_triggers_loader,OK,True,from src.assembled_core.intel.disclosures_triggers_loader import (
328,src.assembled_core.intel.news_triggers_loader,ARCHIVED(archive\observability_graveyard_2026q2\intel\news_triggers_loader.py),False,from src.assembled_core.intel.news_triggers_loader import (
356,src.assembled_core.features.market_breadth,OK,True,from src.assembled_core.features.market_breadth import (
391,src.assembled_core.execution.kill_switch,OK,True,from src.assembled_core.execution.kill_switch import (
409,src.assembled_core.risk.disclosures_confirm,MISSING,True,from src.assembled_core.risk.disclosures_confirm import (
455,src.assembled_core.data.data_versioning,MISSING,True,from src.assembled_core.data.data_versioning import (
482,src.assembled_core.data.quality_checks,ARCHIVED(archive\observability_graveyard_2026q2\data\quality_checks.py),True,from src.assembled_core.data.quality_checks import check_panel_quality
503,src.assembled_core.qa.data_qc,OK,True,from src.assembled_core.qa.data_qc import run_price_panel_qc
523,src.assembled_core.features.macro_features,OK,True,from src.assembled_core.features.macro_features import compute_diffusion_index
568,src.assembled_core.pipeline.precomputed_index,ARCHIVED(archive\observability_graveyard_2026q2\pipeline\precomputed_index.py),True,from src.assembled_core.pipeline.precomputed_index import (
